TAG	TEXT	COMMENT
11*Description	Завершите матч в режиме игры.	
11*Name	Первая кровь	
12*Description	Сыграйте 3 матча в режиме игры.	
12*Name	Дуэлянт	
31*Description	Достигните 10-го уровня любым классом.	
31*Name	Новый уровень	
32*Description	2 победы друидом или охотником.	
32*Name	Победа друида или охотника	
33*Description	2 победы друидом или разбойником.	
33*Name	Победа друида или разбойника	
34*Description	2 победы охотником или магом.	
34*Name	Победа охотника или мага	
35*Description	2 победы магом или шаманом.	
35*Name	Победа мага или шамана	
36*Description	2 победы паладином или жрецом.	
36*Name	Победа паладина или жреца	
37*Description	2 победы паладином или воином.	
37*Name	Победа паладина или воина	
38*Description	2 победы жрецом или чернокнижником.	
38*Name	Победа жреца или чернокнижника	
39*Description	2 победы разбойником или воином.	
39*Name	Победа разбойника или воина	
40*Description	2 победы шаманом или чернокнижником.	
40*Name	Победа шамана или чернокнижника	
41*Description	5 побед друидом или охотником.	
41*Name	Триумф друида или охотника	
42*Description	5 побед друидом или разбойником.	
42*Name	Триумф друида или разбойника	
43*Description	5 побед охотником или магом.	
43*Name	Триумф охотника или мага	
44*Description	5 побед магом или шаманом.	
44*Name	Триумф мага или шамана	
45*Description	5 побед паладином или жрецом.	
45*Name	Триумф паладина или жреца	
46*Description	5 побед паладином или воином.	
46*Name	Триумф паладина или воина	
47*Description	5 побед жрецом или чернокнижником.	
47*Name	Триумф жреца или чернокнижника	
48*Description	5 побед разбойником или воином.	
48*Name	Триумф разбойника или воина	
49*Description	5 побед шаманом или чернокнижником.	
49*Name	Триумф шамана или чернокнижника	
50*Description	Уничтожьте 40 существ.	
50*Name	Всех уничтожить!	
51*Description	Разыграйте 20 существ за 5 маны или больше.	
51*Name	Только сильнейшие	
52*Description	Разыграйте 40 существ за 2 маны или меньше.	
52*Name	Блаженны кроткие	
53*Description	Разыграйте 40 заклинаний.	
53*Name	Мастер заклинаний	
54*Description	Нанесите 100 урона героям противников.	
54*Name	Нокдаун	
55*Description	Распылите карту.	
55*Name	Время мастерить	
56*Description	Зайдите на Арену.	
56*Name	Гладиатор	
58*Description	Соберите все карты пиратов.	
58*Name	Пиастры!	
59*Description	Соберите все золотые карты пиратов.	
59*Name	Золотые пиастры!	
60*Description	Соберите все карты мурлоков.	
60*Name	Мрглглглгл!	
61*Description	Соберите все золотые карты мурлоков.	
61*Name	Золотой мрглглглгл!	
62*Description	Выиграйте 100 матчей в любом режиме.	
62*Name	Большая победа	
63*Description	Выиграйте 1000 матчей в любом режиме.	
63*Name	Полное превосходство	
64*Description	Выиграйте 7 матчей в любом режиме.	
64*Name	Отличное начало	
69*Description	Выиграйте 3 матча любым классом.	
69*Name	Три победы!	
79*Description	Откройте всех героев.	
79*Name	Готовность номер один!	
89*Description	Победите всех ИИ-противников на уровне сложности «Эксперт».	
89*Name	Сокруши их всех!	
90*Description	Соберите все карты базового набора.	
90*Name	Познать основы	
91*Description	Соберите все карты набора эксперта.	
91*Name	Каждой по одной!	
95*Description	Спасибо за помощь в тестировании магазина!	
95*Name	Герой бета-тестирования!	
96*Description	Спасибо за то, что вы посетили BlizzCon 2013!	
96*Name	Рок на века!	
