TAG	TEXT	COMMENT
11*Description	在对战模式中完成一场比赛。	
11*Name	第一滴血	
12*Description	在对战模式中完成3场比赛。	
12*Name	气势如虹	
31*Description	将任意职业提升至10级。	
31*Name	步步高升	
32*Description	使用德鲁伊或猎人赢得2场比赛。	
32*Name	德鲁伊/猎人：胜利	
33*Description	使用德鲁伊或潜行者赢得2场比赛。	
33*Name	德鲁伊/潜行者：胜利	
34*Description	使用猎人或法师赢得2场比赛。	
34*Name	猎人/法师：胜利	
35*Description	使用法师或萨满祭司赢得2场比赛。	
35*Name	法师/萨满祭司：胜利	
36*Description	使用圣骑士或牧师赢得2场比赛。	
36*Name	圣骑士/牧师：胜利	
37*Description	使用圣骑士或战士赢得2场比赛。	
37*Name	圣骑士/战士：胜利	
38*Description	使用牧师或术士赢得2场比赛。	
38*Name	牧师/术士：胜利	
39*Description	使用潜行者或战士赢得2场比赛。	
39*Name	潜行者/战士：胜利	
40*Description	使用萨满祭司或术士赢得2场比赛。	
40*Name	萨满祭司/术士：胜利	
41*Description	使用德鲁伊或猎人赢得5场比赛。	
41*Name	德鲁伊/猎人：统御	
42*Description	使用德鲁伊或潜行者赢得5场比赛。	
42*Name	德鲁伊/潜行者：统御	
43*Description	使用猎人或法师赢得5场比赛。	
43*Name	猎人/法师：统御	
44*Description	使用法师或萨满祭司赢得5场比赛。	
44*Name	法师/萨满祭司：统御	
45*Description	使用圣骑士或牧师赢得5场比赛。	
45*Name	圣骑士/牧师：统御	
46*Description	使用圣骑士或战士赢得5场比赛。	
46*Name	圣骑士/战士：统御	
47*Description	使用牧师或术士赢得5场比赛。	
47*Name	牧师/术士：统御	
48*Description	使用潜行者或战士赢得5场比赛。	
48*Name	潜行者/战士：统御	
49*Description	使用萨满祭司或术士赢得5场比赛。	
49*Name	萨满祭司/术士：统御	
50*Description	消灭40个随从。	
50*Name	全数消灭	
51*Description	召唤20个消耗5点或5点以上法力值的随从。	
51*Name	恃强凌弱	
52*Description	召唤40个消耗2点或2点以下法力值的随从。	
52*Name	唯快不破	
53*Description	施放40个法术。	
53*Name	法术大师	
54*Description	对敌方英雄造成100点伤害。	
54*Name	直取敌将	
55*Description	分解一张牌。	
55*Name	收集精华	
56*Description	进入竞技场进行对战。	
56*Name	进入竞技场	
58*Description	获得所有海盗牌。	
58*Name	不死海魔	
59*Description	获得所有金色海盗牌。	
59*Name	惊涛骇浪	
60*Description	获得所有鱼人牌。	
60*Name	鱼人成群	
61*Description	获得所有金色鱼人牌。	
61*Name	金色鱼人	
62*Description	在任何模式中赢得100场比赛。	
62*Name	炉石勇者	
63*Description	在任何模式中赢得1000场比赛。	
63*Name	炉石赢家	
64*Description	在任何模式中赢得7场比赛。	
64*Name	常胜将军	
69*Description	使用任何职业赢得3场比赛。	
69*Name	赢得三胜	
79*Description	解锁所有英雄。	
79*Name	蓄势待发	
89*Description	击败所有专家级电脑英雄。	
89*Name	碾碎敌人	
90*Description	收集所有基本级卡牌。	
90*Name	打好基础	
91*Description	收集所有专家级卡牌。	
91*Name	别无所求	
95*Description	感谢您帮助我们测试牌店功能！	
95*Name	测试英雄	
96*Description	感谢您参加2013年的暴雪嘉年华！	
96*Name	开始摇滚	
