TAG	TEXT	COMMENT
11*Description	完成一場對戰模式中的賽局。	
11*Name	第一滴血	
12*Description	在對戰模式中進行3場賽局。	
12*Name	決鬥者	
31*Description	將任一職業升級到10級。	
31*Name	升級	
32*Description	用德魯伊或是獵人贏得2場對戰。	
32*Name	德魯伊或是獵人勝利	
33*Description	用德魯伊或是盜賊贏得2場對戰。	
33*Name	德魯伊或是盜賊勝利	
34*Description	用獵人或是法師贏得2場對戰。	
34*Name	獵人或是法師勝利	
35*Description	用法師或是薩滿贏得2場對戰。	
35*Name	法師或是薩滿勝利	
36*Description	用聖騎士或是牧師贏得2場對戰。	
36*Name	聖騎士或是牧師勝利	
37*Description	用聖騎士或是戰士贏得2場對戰。	
37*Name	聖騎士或是戰士勝利	
38*Description	用牧師或是術士贏得2場對戰。	
38*Name	牧師或是術士勝利	
39*Description	用盜賊或是戰士贏得2場對戰。	
39*Name	盜賊或是戰士勝利	
40*Description	用薩滿或是術士贏得2場對戰。	
40*Name	薩滿或是術士勝利	
41*Description	用德魯伊或是獵人贏得5場對戰。	
41*Name	德魯伊或獵人高手	
42*Description	用德魯伊或是盜賊贏得5場對戰。	
42*Name	德魯伊或盜賊高手	
43*Description	用獵人或是法師贏得5場對戰。	
43*Name	獵人或法師高手	
44*Description	用法師或是薩滿贏得5場對戰。	
44*Name	法師或薩滿高手	
45*Description	用聖騎士或是牧師贏得5場對戰。	
45*Name	聖騎士或牧師高手	
46*Description	用聖騎士或是戰士贏得5場對戰。	
46*Name	聖騎士或戰士高手	
47*Description	用牧師或是術士贏得5場對戰。	
47*Name	牧師或術士高手	
48*Description	用盜賊或是戰士贏得5場對戰。	
48*Name	盜賊或戰士高手	
49*Description	用薩滿或是術士贏得5場對戰。	
49*Name	薩滿或術士高手	
50*Description	摧毀40個手下。	
50*Name	殺光他們	
51*Description	召喚20個消耗為5點以上的手下。	
51*Name	勇者得寵	
52*Description	召喚40個消耗為2點以下的手下。	
52*Name	弱者蒙福	
53*Description	施放40個法術。	
53*Name	法術大師	
54*Description	對敵方英雄造成100點傷害。	
54*Name	痛毆	
55*Description	分解一張卡片。	
55*Name	準備合成	
56*Description	進入競技場。	
56*Name	踏入競技場	
58*Description	取得每一張海盜卡。	
58*Name	呀啊啊!!!	
59*Description	取得每一張海盜金卡。	
59*Name	金卡呀啊!!!	
60*Description	取得每一張魚人卡。	
60*Name	咕嚕嚕!	
61*Description	取得每一張魚人金卡。	
61*Name	咕嚕嚕金卡!	
62*Description	在任何模式下贏得共100場勝利。	
62*Name	慶功宴	
63*Description	在任何模式下贏得共1000場勝利。	
63*Name	大贏家	
64*Description	在任何模式下贏得共7場勝利。	
64*Name	盡在我手	
69*Description	用任一職業贏得三場賽局。	
69*Name	三場勝利!	
79*Description	解鎖每一位英雄。	
79*Name	蓄勢待發	
89*Description	擊敗每一位專家級的AI英雄。	
89*Name	殺光他們!	
90*Description	收集到基本系列的每一張牌。	
90*Name	打好基礎!	
91*Description	收集到專家系列的每一張牌。	
91*Name	應有盡有!	
95*Description	感謝你協助測試我們的商店!	
95*Name	測試的英雄!	
96*Description	感謝你參加BlizzCon 2013!	
96*Name	準備搖滾!	
